WORD	PF	OTHER	RELATION	LLR	PEARSONRESID	LOGODDSRATIO	PMI	DELTAPC2W	DELTAPW2C	KLDC2W	KLDW2C
risen	4	0	attraction	39.6169245474178	23.5960477525784	28.3123973398969	7.14145613546118	0.00409416581371546	0.992945952803857	0.0233854458178418	7.14145613546118
fled	2	0	attraction	19.8043887054536	16.6849253750498	27.8474175404361	7.14145613546118	0.00204708290685773	0.992931555710216	0.0116897365342735	7.14145613546118
alienated	1	0	attraction	9.90117701200328	11.7980238762892	27.5100648386076	7.14145613546118	0.00102354145342886	0.992924357319955	0.00584412244963963	7.14145613546118
allured	1	0	attraction	9.90117701200328	11.7980238762892	27.5100648386076	7.14145613546118	0.00102354145342886	0.992924357319955	0.00584412244963963	7.14145613546118
assuaged	1	0	attraction	9.90117701200328	11.7980238762892	27.5100648386076	7.14145613546118	0.00102354145342886	0.992924357319955	0.00584412244963963	7.14145613546118
availed	1	0	attraction	9.90117701200328	11.7980238762892	27.5100648386076	7.14145613546118	0.00102354145342886	0.992924357319955	0.00584412244963963	7.14145613546118
awaited	1	0	attraction	9.90117701200328	11.7980238762892	27.5100648386076	7.14145613546118	0.00102354145342886	0.992924357319955	0.00584412244963963	7.14145613546118
borrowed	1	0	attraction	9.90117701200328	11.7980238762892	27.5100648386076	7.14145613546118	0.00102354145342886	0.992924357319955	0.00584412244963963	7.14145613546118
centered	1	0	attraction	9.90117701200328	11.7980238762892	27.5100648386076	7.14145613546118	0.00102354145342886	0.992924357319955	0.00584412244963963	7.14145613546118
conciliated	1	0	attraction	9.90117701200328	11.7980238762892	27.5100648386076	7.14145613546118	0.00102354145342886	0.992924357319955	0.00584412244963963	7.14145613546118
corresponded	1	0	attraction	9.90117701200328	11.7980238762892	27.5100648386076	7.14145613546118	0.00102354145342886	0.992924357319955	0.00584412244963963	7.14145613546118
decayed	1	0	attraction	9.90117701200328	11.7980238762892	27.5100648386076	7.14145613546118	0.00102354145342886	0.992924357319955	0.00584412244963963	7.14145613546118
decreed	1	0	attraction	9.90117701200328	11.7980238762892	27.5100648386076	7.14145613546118	0.00102354145342886	0.992924357319955	0.00584412244963963	7.14145613546118
distracted	1	0	attraction	9.90117701200328	11.7980238762892	27.5100648386076	7.14145613546118	0.00102354145342886	0.992924357319955	0.00584412244963963	7.14145613546118
drifted	1	0	attraction	9.90117701200328	11.7980238762892	27.5100648386076	7.14145613546118	0.00102354145342886	0.992924357319955	0.00584412244963963	7.14145613546118
dropped	1	0	attraction	9.90117701200328	11.7980238762892	27.5100648386076	7.14145613546118	0.00102354145342886	0.992924357319955	0.00584412244963963	7.14145613546118
endeavored	1	0	attraction	9.90117701200328	11.7980238762892	27.5100648386076	7.14145613546118	0.00102354145342886	0.992924357319955	0.00584412244963963	7.14145613546118
ensured	1	0	attraction	9.90117701200328	11.7980238762892	27.5100648386076	7.14145613546118	0.00102354145342886	0.992924357319955	0.00584412244963963	7.14145613546118
eroded	1	0	attraction	9.90117701200328	11.7980238762892	27.5100648386076	7.14145613546118	0.00102354145342886	0.992924357319955	0.00584412244963963	7.14145613546118
expounded	1	0	attraction	9.90117701200328	11.7980238762892	27.5100648386076	7.14145613546118	0.00102354145342886	0.992924357319955	0.00584412244963963	7.14145613546118
